taz,total_residential_units,exist_total_emp,dummy_res_value,dummy_biz_value
109,335,0,5.814,0.000
110,2,0,0.693,0.000
111,282,0,5.642,0.000
112,1102,0,7.005,0.000
113,477,0,6.168,0.000
114,305,0,5.720,0.000
115,281,0,5.638,0.000
116,3,0,1.099,0.000
117,0,0,0.000,0.000
118,311,0,5.740,0.000
119,95,0,4.554,0.000
120,34,0,3.526,0.000
121,405,0,6.004,0.000
122,0,0,0.000,0.000
123,567,0,6.340,0.000
124,359,0,5.883,0.000
125,299,0,5.700,0.000
126,291,0,5.673,0.000
127,0,0,0.000,0.000
128,0,0,0.000,0.000
129,0,0,0.000,0.000
130,0,0,0.000,0.000
131,0,0,0.000,0.000
132,0,0,0.000,0.000
133,117,0,4.762,0.000
134,373,0,5.922,0.000
135,127,0,4.844,0.000
136,0,0,0.000,0.000
137,394,31,5.976,3.434
138,680,180,6.522,5.193
139,550,181,6.310,5.198
140,148,305,4.997,5.720
141,370,197,5.914,5.283
142,965,40,6.872,3.689
143,557,11,6.323,2.398
144,275,0,5.617,0.000
145,717,0,6.575,0.000
146,261,0,5.565,0.000
147,621,0,6.431,0.000
148,513,88,6.240,4.477
149,279,0,5.631,0.000
150,63,83,4.143,4.419
151,123,0,4.812,0.000
152,165,0,5.106,0.000
153,358,0,5.881,0.000
154,668,228,6.504,5.429
155,0,0,0.000,0.000
156,346,51,5.846,3.932
157,38,0,3.638,0.000
158,387,386,5.958,5.956
159,558,77,6.324,4.344
160,585,0,6.372,0.000
161,17,742,2.833,6.609
162,280,401,5.635,5.994
163,0,0,0.000,0.000
164,1,0,0.000,0.000
165,353,60,5.866,4.094
166,237,10,5.468,2.303
167,225,136,5.416,4.913
168,137,12,4.920,2.485
169,60,0,4.094,0.000
170,185,40,5.220,3.689
171,64,2,4.159,0.693
172,0,0,0.000,0.000
173,0,0,0.000,0.000
174,1,0,0.000,0.000
175,892,0,6.793,0.000
176,271,0,5.602,0.000
177,49,0,3.892,0.000
178,399,23,5.989,3.135
179,314,11,5.749,2.398
180,1,1,0.000,0.000
181,0,18,0.000,2.890
182,10,13,2.303,2.565
183,32,16,3.466,2.773
184,2,0,0.693,0.000
185,78,0,4.357,0.000
186,75,0,4.317,0.000
187,22,0,3.091,0.000
188,60,0,4.094,0.000
189,13,0,2.565,0.000
190,18,0,2.890,0.000
191,246,0,5.505,0.000
192,451,0,6.111,0.000
193,2,0,0.693,0.000
194,23,2,3.135,0.693
195,774,19,6.652,2.944
196,21,0,3.045,0.000
197,518,176,6.250,5.170
198,0,3,0.000,1.099
199,4,0,1.386,0.000
200,500,9,6.215,2.197
201,0,141,0.000,4.949
202,98,0,4.585,0.000
203,31,0,3.434,0.000
204,0,0,0.000,0.000
205,0,0,0.000,0.000
206,0,0,0.000,0.000
207,44,0,3.784,0.000
208,164,0,5.100,0.000
209,27,0,3.296,0.000
210,17,3,2.833,1.099
211,39,0,3.664,0.000
212,0,0,0.000,0.000
213,0,0,0.000,0.000
214,136,0,4.913,0.000
215,42,0,3.738,0.000
216,0,0,0.000,0.000
217,22,0,3.091,0.000
218,1,0,0.000,0.000
219,0,0,0.000,0.000
220,15,0,2.708,0.000
221,14,0,2.639,0.000
222,295,0,5.687,0.000
223,0,0,0.000,0.000
224,274,0,5.613,0.000
225,63,0,4.143,0.000
226,0,0,0.000,0.000
227,0,0,0.000,0.000
228,3,0,1.099,0.000
229,122,0,4.804,0.000
230,946,0,6.852,0.000
231,91,0,4.511,0.000
232,201,0,5.303,0.000
233,60,0,4.094,0.000
234,547,163,6.304,5.094
235,46,0,3.829,0.000
236,185,34,5.220,3.526
237,111,21,4.710,3.045
238,1,0,0.000,0.000
239,98,31,4.585,3.434
240,5,0,1.609,0.000
241,327,26,5.790,3.258
242,83,9,4.419,2.197
243,116,5,4.754,1.609
244,195,0,5.273,0.000
245,0,83,0.000,4.419
246,0,1,0.000,0.000
247,95,14,4.554,2.639
248,355,38,5.872,3.638
249,603,79,6.402,4.369
250,0,30,0.000,3.401
251,303,107,5.714,4.673
252,49,0,3.892,0.000
253,208,22,5.338,3.091
254,272,616,5.606,6.423
255,31,65,3.434,4.174
256,5,0,1.609,0.000
257,24,142,3.178,4.956
258,1,0,0.000,0.000
259,1,0,0.000,0.000
260,234,71,5.455,4.263
261,13,37,2.565,3.611
262,12,72,2.485,4.277
263,0,0,0.000,0.000
264,60,29,4.094,3.367
265,0,0,0.000,0.000
266,673,136,6.512,4.913
267,663,33,6.497,3.497
268,170,34,5.136,3.526
269,23,0,3.135,0.000
270,41,0,3.714,0.000
271,199,53,5.293,3.970
272,0,0,0.000,0.000
273,109,607,4.691,6.409
274,961,2,6.868,0.693
275,24,38,3.178,3.638
276,87,49,4.466,3.892
277,43,52,3.761,3.951
278,556,26,6.321,3.258
279,191,119,5.252,4.779
280,120,14,4.787,2.639
281,522,94,6.258,4.543
282,244,26,5.497,3.258
283,197,3,5.283,1.099
284,94,52,4.543,3.951
285,0,0,0.000,0.000
286,220,5,5.394,1.609
287,0,15,0.000,2.708
288,435,208,6.075,5.338
289,102,70,4.625,4.248
290,1240,381,7.123,5.943
291,188,0,5.236,0.000
292,182,89,5.204,4.489
300,0,1642,0.000,7.404
301,0,434,0.000,6.073
302,0,0,0.000,0.000
303,5,0,1.609,0.000
304,0,6,0.000,1.792
305,0,2,0.000,0.693
306,247.189121,460,5.510,6.131
307,0,0,0.000,0.000
308,29,1,3.367,0.000
309,95,0,4.554,0.000
310,67,0,4.205,0.000
311,297,293,5.694,5.680
312,177,446,5.176,6.100
313,516,1562,6.246,7.354
314,4,10,1.386,2.303
315,72,80,4.277,4.382
316,246,26,5.505,3.258
317,256,68,5.545,4.220
318,1,0,0.000,0.000
319,193,0,5.263,0.000
320,137,0,4.920,0.000
321,331,2,5.802,0.693
322,46,372,3.829,5.919
323,283,256,5.645,5.545
324,189,4,5.242,1.386
325,275,90,5.617,4.500
326,0,0,0.000,0.000
327,0,17,0.000,2.833
328,0,1,0.000,0.000
329,342,0,5.835,0.000
330,92,0,4.522,0.000
331,142,1,4.956,0.000
332,21,0,3.045,0.000
333,12,0,2.485,0.000
334,2,0,0.693,0.000
335,23,5,3.135,1.609
336,2,9,0.693,2.197
337,52,14,3.951,2.639
338,0,1,0.000,0.000
339,0,0,0.000,0.000
340,235,19,5.460,2.944
341,1,0,0.000,0.000
342,62,3,4.127,1.099
343,2,5,0.693,1.609
344,0,22,0.000,3.091
345,1,0,0.000,0.000
346,0,0,0.000,0.000
347,0,28,0.000,3.332
348,0,0,0.000,0.000
349,0,0,0.000,0.000
350,0,0,0.000,0.000
351,0,1,0.000,0.000
352,0,0,0.000,0.000
353,0,0,0.000,0.000
354,0,0,0.000,0.000
355,0,0,0.000,0.000
356,0,0,0.000,0.000
357,0,0,0.000,0.000
358,5,0,1.609,0.000
359,5,0,1.609,0.000
360,126,14,4.836,2.639
361,387,214,5.958,5.366
362,159,7,5.069,1.946
363,0,0,0.000,0.000
364,218,973,5.384,6.880
365,14,576,2.639,6.356
366,1,0,0.000,0.000
367,560,0,6.328,0.000
368,5,0,1.609,0.000
369,444,0,6.096,0.000
370,418,76,6.035,4.331
371,52,0,3.951,0.000
372,168,0,5.124,0.000
373,467,0,6.146,0.000
374,593,0,6.385,0.000
375,62,4,4.127,1.386
376,626,251,6.439,5.525
377,150,11,5.011,2.398
378,287,364,5.659,5.897
379,129,148,4.860,4.997
380,6,0,1.792,0.000
381,142,0,4.956,0.000
382,261,44,5.565,3.784
383,306,434,5.724,6.073
384,0,0,0.000,0.000
385,0,4,0.000,1.386
386,183,81,5.209,4.394
387,495,31,6.205,3.434
388,14,0,2.639,0.000
389,98,277,4.585,5.624
390,8,0,2.079,0.000
391,691,147,6.538,4.990
392,9,19,2.197,2.944
393,137,246,4.920,5.505
394,180,2,5.193,0.693
395,16,8,2.773,2.079
396,79,15,4.369,2.708
397,9,0,2.197,0.000